shop,date,pre,post,pct
14548101,2026-04-15,2518983.3333333335,2740766.6666666665,0.08804477997075527
14588959,2025-12-23,713671.4285714285,1048528.5714285715,0.4692035150229199
14590778,2026-05-04,1613327.2727272727,975378.5714285715,-0.39542423417926326
14596329,2025-12-31,769435.7142857143,950871.4285714285,0.23580360375414253
14610730,2026-05-28,2902769.230769231,2110492.8571428573,-0.27293811896180986
14622220,2026-04-22,874857.1428571428,813692.8571428572,-0.06991345525800127
14648776,2026-05-28,1186878.5714285714,1278092.857142857,0.07685224749192056
14649539,2026-03-26,1884007.142857143,1850914.2857142857,-0.01756514420251674
14662149,2026-01-05,716857.1428571428,1083214.2857142857,0.511060183339976
14668913,2026-01-08,1600450.0,1660321.4285714286,0.03740912154170929
14672950,2026-01-20,2613985.714285714,2447600.0,-0.06365211308401503
14677340,2026-01-07,1957536.3636363635,1742766.6666666667,-0.10971428217595701
14686095,2026-01-24,1624492.857142857,1828664.2857142857,0.1256831802452634
14692831,2026-01-18,687053.8461538461,873654.5454545454,0.2715954511357402
14692909,2026-05-29,1678585.7142857143,1945807.142857143,0.15919438983498016
14696945,2026-03-10,1494328.5714285714,1284878.5714285714,-0.14016328403583073
14697166,2026-05-23,2982900.0,3101564.285714286,0.039781516549091796
14698682,2026-01-07,2252421.4285714286,2288007.1428571427,0.015798870421990213
14700546,2026-04-17,1328416.6666666667,1406575.0,0.05883570666833944
14703182,2026-05-29,2111892.8571428573,2112064.285714286,8.117294911473902e-05
14705600,2026-01-09,1170250.0,1516666.6666666667,0.2960193690806808
14706118,2026-03-15,2298678.5714285714,1898821.4285714286,-0.17395087239563098
14706515,2026-05-26,1848907.142857143,1826785.7142857143,-0.011964596846785974
14706881,2025-12-30,831127.2727272727,826772.7272727273,-0.005239324466223261
14708601,2026-05-16,1830775.0,1481541.6666666667,-0.19075710195591117
14708785,2026-06-03,897008.3333333334,697300.0,-0.22263821406341452
14709907,2025-12-30,1476885.7142857143,1474142.857142857,-0.0018571898396240092
14711180,2026-01-15,1144541.6666666667,993916.6666666666,-0.13160289781207915
14715109,2026-02-23,962118.1818181818,1349891.6666666667,0.4030414269021321
14715160,2026-05-16,1566661.5384615385,1499435.7142857143,-0.04291024099681411
14720458,2026-04-29,1891200.0,1833314.2857142857,-0.03060792845056806
14724008,2025-12-25,704575.0,668184.6153846154,-0.051648702573018665
14726924,2026-03-31,575680.0,569908.3333333334,-0.010025824532147423
14726983,2025-12-23,1229171.4285714286,1484571.4285714286,0.2077822458799191
14727525,2026-01-30,1269950.0,1182035.7142857143,-0.06922657247473182
14730321,2026-01-02,1399557.142857143,1329642.857142857,-0.04995457746838299
14739304,2026-04-14,1805600.0,2042607.142857143,0.13126226343439465
14740252,2026-04-30,453022.22222222225,689333.3333333334,0.5216324928872755
14740490,2026-01-31,1185108.3333333333,1223883.3333333333,0.03271852784203976
14742893,2026-02-21,489281.8181818182,380061.53846153844,-0.2232257068659217
14747616,2026-04-03,905921.4285714285,1034000.0,0.14137933753321408
14748826,2026-05-25,1157800.0,1042764.2857142857,-0.09935715519581476
14752263,2026-01-30,1421257.142857143,1160314.2857142857,-0.18360003216468326
14752338,2026-01-23,1192291.6666666667,989500.0,-0.17008561943036873
14752529,2026-01-30,1488828.5714285714,1357964.2857142857,-0.08789748411982573
14753959,2026-03-06,845491.6666666666,846158.3333333334,0.0007884958456126053
14755010,2026-05-21,2021035.7142857143,1911907.142857143,-0.05399635971655265
14755667,2025-12-29,1914100.0,1708723.076923077,-0.107296861750652
14759217,2025-12-23,873942.8571428572,916142.8571428572,0.048286909899306917
14760501,2026-05-03,1242376.923076923,1349892.857142857,0.08654051123201448
14760753,2026-02-01,1241459.2857142857,1468462.142857143,0.18285163255454565
14761279,2026-01-12,672215.3846153846,721269.2307692308,0.07297340595962828
14761955,2026-05-16,3869757.1428571427,3807764.285714286,-0.01601983144014197
14762064,2026-05-20,2511964.285714286,2741328.5714285714,0.09130873675979231
14762139,2026-01-20,819983.3333333334,878266.6666666666,0.07107868046098488
14762995,2026-02-02,433961.53846153844,455007.6923076923,0.04849773996277592
14763341,2026-01-05,932685.7142857143,992621.4285714285,0.064261426295797
14765784,2026-04-07,751275.0,969033.3333333334,0.289851696560292
14766648,2026-01-01,1141408.3333333333,1265858.3333333333,0.1090319707379042
14767312,2026-02-23,1236541.6666666667,1290583.3333333333,0.04370387842436891
14767866,2025-12-31,1533028.5714285714,1748821.4285714286,0.1407624496794395
14768861,2026-02-06,1396557.142857143,1209628.5714285714,-0.1338495688376519
14769089,2026-05-15,1080166.6666666667,1106050.0,0.02396235148896768
14773053,2026-03-29,656321.4285714285,801721.4285714285,0.22153779180497363
14774400,2026-04-23,1765742.857142857,2064335.7142857143,0.16910325075646035
14774575,2026-04-09,447027.2727272727,911000.0,1.037906981473573
14775366,2026-02-02,1221064.2857142857,1534392.857142857,0.25660284646298015
14775585,2026-04-25,2675333.3333333335,2701683.3333333335,0.009849239970097184
14776170,2026-02-01,1082957.142857143,1220971.4285714286,0.12744205680214224
14776252,2025-12-30,584628.5714285715,776623.0769230769,0.328404246520755
14776614,2026-01-06,1481475.0,1278764.2857142857,-0.13683033077555432
14776622,2026-06-05,1948600.0,1874772.7272727273,-0.03788734102805743
14779820,2026-03-04,3046658.3333333335,2924975.0,-0.03993993419019203
14780860,2026-04-04,733272.7272727273,886972.7272727273,0.2096082320852963
14780960,2026-05-22,2231085.714285714,2271907.1428571427,0.018296665300686438
14781170,2026-05-07,1065514.2857142857,933985.7142857143,-0.12344139650872812
14785599,2025-12-26,1029060.0,1163792.857142857,0.13092808693648286
14786153,2025-12-30,1657521.4285714286,1703200.0,0.02755835951269749
14786550,2026-01-18,2219235.714285714,2372421.4285714286,0.06902633789625141
14786985,2026-05-24,1659271.4285714286,1751664.2857142857,0.05568278676527558
14788004,2026-05-14,606461.5384615385,809507.1428571428,0.33480376168732323
14788398,2025-12-25,1082225.0,1067572.7272727273,-0.013539026290533582
14789603,2026-01-15,1820284.6153846155,1691753.8461538462,-0.07061025959592118
14790026,2026-01-31,1529550.0,1467325.0,-0.04068189990520087
14794395,2026-01-24,1357746.1538461538,1421400.0,0.04688199334870578
14794609,2026-02-12,1013071.4285714285,1199109.0909090908,0.18363726099748096
14796342,2026-03-23,1498166.6666666667,1304364.2857142857,-0.1293596935937575
14799069,2026-01-08,445707.14285714284,553235.7142857143,0.24125386624785666
14799365,2026-03-27,1068590.9090909092,1129421.4285714286,0.056925918948973926
14800176,2026-01-01,1030571.4285714285,891542.8571428572,-0.13490435264762954
14806607,2026-01-08,1625671.4285714286,1499471.4285714286,-0.07762946299111576
14807943,2026-04-30,843700.0,1280333.3333333333,0.5175220259966021
14811350,2026-03-31,838621.4285714285,865500.0,0.03205089986116677
14811467,2026-01-04,1433658.3333333333,1189208.3333333333,-0.1705078499642523
14816165,2026-05-17,839721.4285714285,1100285.7142857143,0.31029848334056376
14819647,2026-05-17,2464271.4285714286,2102923.076923077,-0.14663496377013557
14820141,2026-01-26,1688435.7142857143,1560614.2857142857,-0.07570405404833726
14823284,2026-01-20,1208050.0,1129442.857142857,-0.06506944485504984
14825486,2026-01-04,1133000.0,964700.0,-0.14854368932038836
14826193,2026-02-11,862741.6666666666,824054.5454545454,-0.044842068845005224
14826198,2026-03-17,1088778.5714285714,1148650.0,0.054989536111894784
14830336,2026-06-01,2030507.142857143,1804400.0,-0.11135500983216724
14838329,2026-03-29,1302308.3333333333,1310525.0,0.0063093097512750395
14839262,2026-05-28,1450600.0,1638092.857142857,0.12925193515983527
14844407,2026-03-26,1595358.3333333333,1369083.3333333333,-0.14183333942740137
14856185,2026-04-29,544321.4285714285,578992.8571428572,0.06369660783413175
14917801,2026-06-03,981571.4285714285,636330.7692307692,-0.351722400725457
